day,period,model,RMSE_C,MAE_C,R2,MaxAbsError_C,Bias_C
4,pagi_5_10,NN,0.6784479633946372,0.6747670287150589,0.5828592878487386,0.9120462550039186,-0.6747670287150589
4,pagi_5_10,PINN,0.5952686492656624,0.5554842283585119,0.6788739681536546,1.0332715289543941,-0.5554842283585119
4,siang_10_15,NN,0.6562592889983867,0.6478189991354086,0.8867378842039134,0.9443963306849383,-0.6478189991354086
4,siang_10_15,PINN,0.10684023549462542,0.08733105424293865,0.9969980502648387,0.3461415338705578,-0.04281663879147553
4,sore_malam_15_19,NN,0.6665697191829791,0.6642424848143403,0.6589870440978511,0.8894298972209214,-0.6642424848143403
4,sore_malam_15_19,PINN,0.11864228818571383,0.09788262029399508,0.9891966425464671,0.32677263785969046,-0.06434835968000312
5,pagi_5_10,NN,0.43979725989180035,0.4349096206351528,0.8202809537932985,0.6952476111345938,-0.4349096206351528
5,pagi_5_10,PINN,0.3670074202805805,0.32699278354760386,0.8748477226374503,0.7898287503379002,-0.32633576873187314
5,siang_10_15,NN,0.526949726772117,0.511924293707209,0.9253185031216582,0.8759540501667047,-0.511924293707209
5,siang_10_15,PINN,0.09525239739268923,0.06894357724030381,0.9975597940756679,0.40347246855934316,0.028031319111191104
5,sore_malam_15_19,NN,0.5277695891033332,0.5227776540726781,0.7792332657781622,0.813543597962223,-0.5227776540726781
5,sore_malam_15_19,PINN,0.07781688959317563,0.05853914199764289,0.995200537034495,0.3629028714351108,0.004745129393735767
6,pagi_5_10,NN,0.13718654569863623,0.1138876120395437,0.9820660908773576,0.5314138445976226,-0.11311651593863412
6,pagi_5_10,PINN,0.12765464129566964,0.09985485536822808,0.9844716560456699,0.5271547137453645,-0.024688019736801018
6,siang_10_15,NN,0.36082222703008043,0.3221442504993153,0.964184443500867,0.7886614301557984,-0.32207619130813375
6,siang_10_15,PINN,0.15258732965350474,0.126900947035452,0.993594956499069,0.49895147401140605,0.11635096164342472
6,sore_malam_15_19,NN,0.3451273741531994,0.326331007632189,0.9024643071380591,0.750726827173402,-0.326331007632189
6,sore_malam_15_19,PINN,0.12982653828859747,0.1086384918104624,0.9861983276421493,0.4692203528424699,0.09994658609267884
