model,RMSE_C,MAE_C,R2,MaxAbsError_C,Bias_C
PINN,0.28170992390155164,0.23856462694903044,0.9918401324715876,0.8229555382309606,-0.13443872552608702
NN,0.46730286237242624,0.39799848705578916,0.9775469316679614,1.461527257400256,-0.3858960378887877
